,paper_id,paper_title,cmt_id,cmt_title,cmt_signatures,cmt_content,cmt_category,cmt_sentiment,arxiv_cdate,cmt_cdate,arxiv_availability
10,PUIqjT4rzq7,Training-Free Structured Diffusion Guidance for Compositional Text-to-Image Synthesis,KX86whvifP,provided code is not working!,['~Mehmet_Ozgur_Turkoglu1'],"Thanks for the interesting work. I spent quite few time making the code run but the provided code does not work. It does not have a README file and can not be run readily. For instance, even the default parameter for structural attention is set to None as follows (txt2img.py, line 399).

    parser.add_argument(
        ""--struct_attn"",
        type=str,
        choices=['none', 'extend_str', 'extend_seq', 'align_seq'],
        default='none'
    )


Text conditioning (c) returns a list as follows (txt2img.py, line 562):

                            if opt.struct_attn == 'extend_str':    
                                # repeat each NP in string to expand the embed seq
                                for i in range(1, len(nps)):
                                    nps[i] = ("" "" + nps[i]) * (model.cond_stage_model.max_length // len(nps[i].split()))
                                nps = [[np]*len(prompts) for np in nps]
                                c = [model.get_learned_conditioning(np) for np in nps]


This c goes to a sampler (e.g plm_sampler) as follows: 

https://github.com/CompVis/stable-diffusion/blob/69ae4b35e0a0f6ee1af8bb9a5d0016ccb27e36dc/ldm/models/diffusion/plms.py#L82

        if conditioning is not None:
            if isinstance(conditioning, dict):
                cbs = conditioning[list(conditioning.keys())[0]].shape[0]
                if cbs != batch_size:
                    print(f""Warning: Got {cbs} conditionings but batch-size is {batch_size}"")
            else:
                if conditioning.shape[0] != batch_size:
                    print(f""Warning: Got {conditioning.shape[0]} conditionings but batch-size is {batch_size}"")


It already gives an error here because the sampler expects either a tensor or a dictionary. 

I fixed these flaws but I do not get good results as shown in the paper. It would be very helpful for reproducibility if the authors can share the working version of their codes.


",reproducibility issue,-1,2022-12-09 18:30:24+00:00,2022-11-07 17:12:16+00:00,False
11,0pdSt3oyJa1,Specformer: Spectral Graph Neural Networks Meet Transformers,xDiWOsnVeA,Misattribution of certain datasets,['~Benedek_Andras_Rozemberczki1'],"The paper misattributed the authorship of the Chameleons and Squirrels datasets. These datasets were proposed in this ICLR submission:

https://openreview.net/forum?id=HJxiMAVtPH

The Pei et al. paper cited by the authors took the Squirrel and Chameleons datasets and used those for benchmarking, but had nothing to do with the creation of the datasets. The correct citation for the paper which proposed the datasets is:

```bibtex
>@article{musae,
          author = {Rozemberczki, Benedek and Allen, Carl and Sarkar, Rik},
          title = {{Multi-Scale Attributed Node Embedding}},
          journal = {Journal of Complex Networks},
          volume = {9},
          number = {2},
          year = {2021},
}
```",missing or wrong reference,0,,2022-11-05 20:09:41+00:00,False
12,14-kr46GvP-,Efficient Deep Reinforcement Learning Requires Regulating Statistical Overfitting,8Y3Nfe2BUz,Regarding the Correctness of Some Important Claims in the Paper,['~Zhixuan_Lin1'],"Dear authors, 

I am excited to see a paper that explicitly tries to understand the issue of using high UTD in online RL since I've spent quite some time on this topic, and your work presents an interesting hypothesis and analysis. However, I have some questions about some claims and results in the paper. In particular, some claims in the paper directly contradict my own experience (with the same codebase) and also some previous work.

## Regarding ""degradation from ramping up the UTD cannot be explained by overestimation""

1. It is claimed in the paper that

   > ""*This suggests that higher UTDs do not lead to any more overestimation than the smaller UTD values that work well, and hence the performance degradation from ramping up the UTD cannot be explained by overestimation due to action distribution shift*."" 

   I have spent quite a lot of time experimenting with SAC and SAC + resets with high UTDs on DMC tasks **using the same jaxrl codebase** as in the paper. My experience has been that **except for `fish-swim`** (the only environment in the paper for the overestimation analysis), there exists significant value overestimation on **almost all other environments** in which resetting provides a significant improvement when using a high UTD (e.g., `quadruped-run`, `quadruped-walk`, `humanoid-run`, `hopper-hop`, with UTD=8). In fact, the overestimation is so obvious that you don't even need the ground truth value to tell whether it is overestimating. It is essentially critic divergence (e.g., Q-estimate can go to insane values like $100000$). **And this certainly becomes worse with even higher UTDs** in my experiments. Therefore, based on my experience, this claim seems to be incorrect. It is possible that the feature normalization technique you used in the paper mitigates critic divergence, but I don't think it will eliminate overestimation completely. Besides, it seems that in your main results in Section 5 you are not using feature normalization.

2. The metric (Q value gap between actions from your current policy and actions from your buffer) you use to measure overestimation may not reflect the actual degree of overestimation. It is totally possible to have a low Q-value gap while overestimating the values for actions coming from **both your current policy and from the replay buffer.** The only way to measure overestimation is by estimating the ground truth values with on-policy Monte-Carlo rollouts (note we need to take into account the entropy bonus of SAC and the discount factor) and comparing it with your current Q-value. Therefore I believe Figure 2 does not provide valid evidence that overestimation doesn't correlate with UTD. Besides, even with the right metric unless this analysis is on all environments, one cannot draw a strong conclusion that the issue is not value overestimation.

3. REDQ [1] (which is also referenced in your papers) shows that high UTD (20) leads to overestimation (e.g., Figure 7 in their paper), and their whole approach is just based on this observation. Besides, if overestimation is not an issue and statistical overfitting is indeed the issue, it is hard to explain why REDQ will perform so well given that they don't do anything to fix overfitting (if it exists). 
",problematic empirical evaluation,-2,,2022-11-17 20:54:49+00:00,False
13,4gc3MGZra1d,On Representing Mixed-Integer Linear Programs by Graph Neural Networks,hZcCh27efK,Two suspiciously similar submissions,['~Fanchen_Bu1'],"https://openreview.net/forum?id=4gc3MGZra1d
https://openreview.net/forum?id=cP2QVK-uygd

The above two submissions look suspiciously similar.
Would the authors like to explain the similarity and elaborate on the differences?",plagiarism,-2,2022-10-19 17:56:07+00:00,2022-11-07 00:40:38+00:00,True
14,Hcq7zGgcsOg,Curriculum-inspired Training for Selective Neural Networks,1akr9l-yoP,The idea of this paper is novel but the baseline is not strong,['~Qiang_Ding1'],"The idea of this paper seems interesting. As far as I know, training a selective function is not easy. So it is reasonable to apply curriculum learning to the selective classifier in order to train the selective function more smoothly and easily. 
However, the baseline SelectiveNet is not the state-of-the-art. The current state-of-the-art selective classifier is SAT [1]. I am curious about whether the curriculum-inspired routine proposed by this paper is effective on top of SAT?


[1] Lang Huang, Chao Zhang, and Hongyang Zhang. Self-adaptive training: beyond empirical risk minimization. Advances in Neural Information Processing Systems, 2020.",problematic empirical evaluation,-2,,2022-11-08 07:19:33+00:00,False
15,CQsmMYmlP5T,Git Re-Basin: Merging Models modulo Permutation Symmetries,9liIVMeFFnW,Git Clone or Git Re-Basin? (1/3),['~Sidak_Pal_Singh1'],"Dear ICLR community, authors and reviewers, 
\
&nbsp;

It is with great regret that we need to bother you for a case where we believe *misinformation is being seeped into the scientific process*.

> In short, we wish to demonstrate that this work, Git Re-Basin, is but a mere **rehash** *(clone?)*  of past works [1-5]. 

\
&nbsp;
More concretely, we aim to convey the following:
- Method 1 of Git Re-Basin is **provably identical** to the activations-based alignment of OTFusion [3].
- Methods 2 and 3 of Git Re-basin are **highly similar** to the approaches in past work [1,2,3,4] and *yet not a single comparison* to baselines has been performed.
- Many of the results or observations *have already been shown in similar forms* in past works, **but are presented anew** in this work.
- The paper cites some of these works [3-5] as *mere lip service*, while **not accurately relating key contributions**.
- Lastly, in light of the evidence above, we conclude that numerous *claims in the paper are exaggerated, invalid, or deceptive*.

\
&nbsp;
*We want to stress that there is absolutely nothing wrong with building on related work, but one must be honest and not deceptive.* Presently, their *premier ‘contribution of novel algorithms’ will not be novel*; the second regarding SGD seems to be already *under some contention* as alluded to by Reviewers qnqB and Nc4c;  and the third about empirical results with MLPs/CNNs/ResNets on MNIST, CIFAR10, and CIFAR100 — *were more or less already known* [2-6].

----
\
&nbsp;
### (A) Mathematical proof of equivalence to [3]

What better way to start than by showing that Method 1, based on matching the activations, of Git Re-Basin can be mathematically proved to be identical to one of the approaches used in Singh & Jaggi (2019) [3]. The main idea of [3] is to utilize Optimal Transport (OT) to first obtain a layerwise alignment of the given networks and then, post-alignment, average their parameters respectively.

The gist of the proof below (which is fairly straightforward, and can be found in more generality for other kinds of costs in Corollary 1 https://mathematical-tours.github.io/book-sources/optimal-transport/CourseOT.pdf) is that for uniform marginals and Euclidean ground metric, the solution set of both Method 1 and OT-based approach of [3] is identical owing to the classic Birkhoff-von Neumann Theorem.

To recap, the OT problem can be expressed as the following linear program:
$$\underset{{\bf{T}} \in {\mathbb{R}}\_{+}^{d\times d},{\bf{T}}\bf{1}=\alpha,{\bf{T}}^\top\bf{1}=\beta}{\operatorname{\mathop{\mathrm{argmin}}\limits}}\quad \langle {\bf{T}}, {\bf{C}} \rangle_F$$
where, the transport plan ${\bf{T}} \in {\mathbb{R}\_{+}^{d \times d}}$ indicates how much of the ‘goods’ be moved from a ‘source location' to a ‘destination location', and must satisfy the mass-conservation constraints at the source and the destination, i.e.,  ${\bf{T}}\bf{1}=\alpha$ and ${\bf{T}}^\top\bf{1}=\beta$. Further, the ground cost matrix is denoted as ${\bf{C}}$ and the entries of which specify the per-unit transportation cost between the corresponding source-destination pair.

For simplicity, in [3], all neurons are assumed to be of equal importance (same amount of ‘supplies’ and ‘demands’ in the above parlance), and thus we can set $\alpha=\beta=\frac{1}{d}\bf{1}$. For convenience, let us call the Transport map $\bf{T}$ multiplied by the scalar $d$ as $\bf{P}$, i.e., ${\bf{P}} = d  {\bf{T}}$, and $\bf{P}$ now is a bistochastic matrix (all rows and columns must sum to $1$). 

Now, let us consider the activation-based approach of [3], where the cost matrix $C$ can be represented, using the notation of Git Re-Basin, as $c_{ij} =\||{\bf{Z}}^{(A)}\_{i,:} - {\bf{Z}}^{(B)}\_{j,:}\||^2_2$.


Then using the shorthand $\bf{z}\_A  = \operatorname{\mathop{\mathrm{diag}}}\left({{\bf{Z}}^{(A)}} {{\bf{Z}}^{(A)}}^\top\right)$ and $\bf{z}\_B = \operatorname{\mathop{\mathrm{diag}}}\left({{\bf{Z}}^{(B)}} {{\bf{Z}}^{(B)}}^\top\right)$ for extracting the diagonal (vector) of the respective matrices, we can express the cost matrix $C$ alternatively as:
  $$ {\bf{C}}=\bf{z}\_A \bf{1}^\top + \bf{1}{\bf{z}\_B^\top} - 2  {\bf{Z}}^{(A)} {{\bf{Z}}^{(B)}}^\top.$$

So, we can express the OT problem as follows:
  $$  \underset{{\bf{P}} \in {\mathbb{R}}\_{+}^{d\times d},{\bf{P}}\bf{1}=\bf{1}, {\bf{P}}^\top\bf{1}=\bf{1}}{\operatorname{\mathop{\mathrm{argmin}}\limits}}\quad {\langle {\bf{P}}, \bf{z}\_A \bf{1}^\top + \bf{1}{\bf{z}\_B}^\top - 2  {\bf{Z}}^{(A)} {{\bf{Z}}^{(B)}}^\top\rangle}_F.  $$

  Now, using the mass-conservation constraints, we get the following equivalent problem
  $$  \underset{{\bf{P}} \in {\mathbb{R}}\_{+}^{d\times d},{\bf{P}}\bf{1}=\bf{1}, {\bf{P}}^\top\bf{1}=\bf{1}}{\operatorname{\mathop{\mathrm{argmin}}\limits}}\quad - \langle {\bf{P}},  {\bf{Z}}^{(A)} {{\bf{Z}}^{(B)}}^\top\rangle_F.  $$

Hence, we recover that the optimization objective above is identical to that in Eqn1. of this work. 

*(continued)*",questionable contribution,-1,,2022-11-06 03:24:19+00:00,False
16,CQsmMYmlP5T,Git Re-Basin: Merging Models modulo Permutation Symmetries,JOEIhp42Z6,error: Please commit your changes before merging.,['~Keller_Jordan1'],"Git Re-Basin presents exciting new results: zero-barrier mode connectivity for ResNet20s on CIFAR-10, and an improvement of the test set performance of merged ResNet50s on ImageNet from ~1% to ~50%.

The authors argue that their results are due to several novel neuron-alignment algorithms, including a new and efficient weight-matching scheme. Other commenters have argued that some of these may be special cases of previously designed algorithms, but we do not focus on this point.

Instead, **we claim that the new results of Git Re-Basin are essentially the product of two implementation details**, both of which relate to *controlling the internal statistics of the interpolated networks* [3]:

- For **CIFAR-10:** The authors use ResNets in which the standard BatchNorm layers have been swapped out for LayerNorm.
- For **ImageNet:** The authors reset BatchNorm layer statistics after merging.

In particular, [3] finds that if the above details are taken into account, then the baseline neuron-alignment method of [1] (a highly-cited work that dates back to 2015) is sufficient to accomplish the results of Git Re-Basin. Whether the strong OTfusion method of [2] could further improve on these results remains a plausible and interesting open question.

We believe that the main text of the paper, as it currently stands, is unclear. Improvements to existing neuron-alignment algorithms, which do not appear to be necessary for such results, are emphasized. And the two essential changes above are relegated to the appendix, rather than committed to the main text. We feel that the relative importance of these different factors should be made clear.

Thank you for your time.

[1] Li, Yixuan, et al. ""Convergent learning: Do different neural networks learn the same representations?."" arXiv preprint arXiv:1511.07543 (2015).

[2] Singh, Sidak Pal, and Martin Jaggi. ""Model fusion via optimal transport."" Advances in Neural Information Processing Systems 33 (2020): 22045-22055.

[3] Jordan, Keller, et al. ""REPAIR: REnormalizing Permuted Activations for Interpolation Repair."" arXiv preprint arXiv:2211.08403 (2022).
",questionable contribution,-1,,2022-11-18 23:00:50+00:00,False
17,6axIMJA7ME3,Compositional Task Representations for Large Language Models,cPO9uxLzKKM,Good execution,['~Anirudh_Goyal1'],"Hello, 

I like the idea  as well as the execution of the idea in this paper. This is good work! :) 

In our work, we have explored ""learning a discrete, compositional/factorial codebook"" for various different problems and shared the similar motivation as here i.e., by training on compositions of many codes, it may be possible to generalize to novel combinations (that said, we have not explored this on the dataset/problem which this paper is trying to do). 

- [Discrete-Valued Neural Communication (NeurIPS'21)](https://arxiv.org/abs/2107.02367): Learning a factorial codebook helps different components in multi-component architecture (like slots in slot-based architecture, positions in transformers, and nodes in graph based methods) generalize systematically. 

- [Discrete Key Value Bottleneck (arXiv)](https://arxiv.org/abs/2207.11240): Basic idea is to have a multi-head factorial codebook of learnable (key, value) pairs, where the information about the input is bottleneck via the learnable factorial codebook (key-value pairs). Here, the keys are ""optimised"" with respect to the encoder, and the ""values"" are optimised with respect to downstream decoder. During adaptation, we only adapt a subset of the values to achieve rapid adaptation, whereas everything else is kept fixed (here, the adaptation is task-agnostic).

- [Discrete Factorial Representations as an
Abstraction for Goal Conditioned RL (NeurIPS'22) ](https://arxiv.org/abs/2211.00247): [There's no way authors could have been aware of this work as it came on arXiv after the deadline) Recently, we also explored the use of such a compositional bottleneck for visual goal-based reasoning, where we tried to focus on ""goal-specification"" using the learned compositional codebook.


Thank you for your time in reading my message. 

",missing or wrong reference,0,,2022-11-15 20:08:19+00:00,False
18,6dlC7E1H_9,Teaching Algorithmic Reasoning via In-context Learning,DKTl7zObWNn,prompt design,['~Ekin_Akyürek1'],"Dear authors,

I am really sorry to be that person that points out their own work. But, I see that some of the prompt designs proposed in this paper have similarities to what we've discussed in our analysis post. We had analyzed & improved scratchpads/CoTs for the addition task in the following post:

Title: Notes on Teaching GPT-3 Adding Numbers  
Link: https://lingo.csail.mit.edu/blog/arithmetic_gpt3/

Please see the prompts and code that I used to produce these results:   
Code: https://github.com/ekinakyurek/gpt3-arithmetic

For example, the authors discuss that the fundamental issue with scratchpad style prompts is that the rules can be ambigious to the model and the scratchpad should be annotated with natural language so that model can infer the rules better:

>  But from the scratchpad-style example the model could have concluded that the carry is 1 whenever we add two even digits together and 0 otherwise, or that the first digit-pair generates a carry of 1, the
second digit-pair generates a carry of 0, and so on. In order for the model to extrapolate the correct
pattern, it must be biased in such a way that the general and correct rule is the default interpretation.
Such alignment, however, can not be reliably expected from current mode

Something similar we say in our post:
>... a scratchpad must not leave anything to interpretation by the model and place appropriate markers. For instance, the tri-way sum without carry-over markers (1+8+9) requires the model to infer which summand is the carry-over, and thus results in poor performance.

Overall, our prompts in the post already adds natural language explanations to the scrachpad-prompts to improve the performance in the addition task --- this shared feature is what the authors listed first in the contribution section:

> We introduce Algorithmic Prompting, which involves providing a detailed description of
the algorithm execution on running examples, and **using explicit explanation and natural
language instruction to remove ambiguity**. For a comparison of algorithmic prompting to
existing prompting techniques, see Section 2 and Table 1.

I appreciate if you could've discussed this in the paper and compare given these similarities.


Best regards",missing or wrong reference,0,2022-11-15 06:12:28+00:00,2022-11-17 23:45:25+00:00,True
19,0g0X4H8yN4I,​​What learning algorithm is in-context learning? Investigations with linear models,So3o14o11D,In-Context learning?,['~Jian-Guang_Lou1'],"The paper presents a very interesting topic, especially the probing results. I have a question about the experiment and the conclusion.

As mentioned by the authors, in-context learning focuses on the capability that a model can ""map from sequences of (x, f(x)) pairs to accurate predictions f(x') on novel inputs x'.""  Based on the definition the authors gave, to demonstrate the in-context learning capability, we need to make sure that the model learns a different linear function f(x') that is never seen in the training dataset based on the input examples in context.

The experiments in this paper may not be enough to prove this. In fact, for all linear function examples, the model only needs to learn a single function to handle all cases rather than different linear functions for different cases. For example, given a set of [x_i, y_i], and x_n, we want to predict the value of y_n. Because (y_i-y_0)/(x_i-x_0)=(y_n-y_0)/(x_n-x_0) is always correct for all linear functions, therefore, the model only needs to learn a single function (e.g., y_n = y_0+(x_n-x_0)*(y_i-y_0)/(x_i-x_0) for no-noise experiments) to predict y_n rather than different f(x') for different input context.

In the experiments, each in-context dataset is a sequence of 40 (x, y) pairs. All training samples and testing samples have the identical length, which increases the possibility of that the model only learns a single model for all cases including training and testing data.

I will suggest to conduct experiments on varying length of in-context dataset to make the experiment more strong. Especially, the length of in-context dataset in the test should be different from that in the training. If the experiments still give positive results, the claim of this paper may be more convincing.
",problematic empirical evaluation,-2,2022-11-28 18:59:51+00:00,2022-11-07 09:12:18+00:00,False
